	[October 24 2018, 04:31:23]	
Start here.
	October 24 2018, 04:31:23

	[October 24 2018, 04:32:33]	Now 40 iteration, used users.get method, success on the 1 try, spent 0.2054300308227539 second(-s).
	[October 24 2018, 04:32:33]	Now 41 iteration, used users.get method, success on the 1 try, spent 0.14984488487243652 second(-s).
	[October 24 2018, 04:32:33]	Now 42 iteration, used users.get method, success on the 1 try, spent 0.1355581283569336 second(-s).
	[October 24 2018, 04:32:33]	Now 43 iteration, used friends.get method, success on the 1 try, spent 0.1405942440032959 second(-s).
	[October 24 2018, 04:32:34]	Now 44 iteration, used friends.get method, success on the 1 try, spent 0.2034764289855957 second(-s).
	[October 24 2018, 04:32:35]	Now 45 iteration, used wall.get method, success on the 2 try, spent 1.3105072975158691 second(-s).
	[October 24 2018, 04:32:36]	Now 46 iteration, used friends.getMutual method, success on the 1 try, spent 0.7595548629760742 second(-s).
	[October 24 2018, 04:32:36]	Now 47 iteration, used friends.getMutual method, success on the 1 try, spent 0.8044919967651367 second(-s).
	[October 24 2018, 04:32:37]	Now 48 iteration, used photos.getAlbums method, success on the 1 try, spent 0.5555427074432373 second(-s).
	[October 24 2018, 04:32:37]	Now 49 iteration, used users.get method, success on the 1 try, spent 0.32416248321533203 second(-s).
	[October 24 2018, 04:32:38]	Now 50 iteration, used users.get method, success on the 1 try, spent 0.1586441993713379 second(-s).
	[October 24 2018, 04:32:38]	Now 51 iteration, used friends.get method, success on the 1 try, spent 0.30834054946899414 second(-s).
	[October 24 2018, 04:32:38]	Now 52 iteration, used users.get method, success on the 1 try, spent 0.5385253429412842 second(-s).
	[October 24 2018, 04:32:39]	Now 53 iteration, used friends.get method, success on the 1 try, spent 0.9095451831817627 second(-s).
	[October 24 2018, 04:32:40]	Now 54 iteration, used photos.getAlbums method, success on the 1 try, spent 1.0017023086547852 second(-s).
	[October 24 2018, 04:32:41]	Now 55 iteration, used friends.getMutual method, success on the 1 try, spent 0.970217227935791 second(-s).
	[October 24 2018, 04:32:42]	Now 56 iteration, used users.get method, success on the 1 try, spent 0.6822595596313477 second(-s).
	[October 24 2018, 04:32:43]	Now 57 iteration, used wall.get method, success on the 1 try, spent 0.77506422996521 second(-s).
	[October 24 2018, 04:32:43]	Now 58 iteration, used photos.getAlbums method, success on the 1 try, spent 0.15462613105773926 second(-s).
	[October 24 2018, 04:32:43]	Now 59 iteration, used users.get method, success on the 1 try, spent 0.14063358306884766 second(-s).
	[October 24 2018, 04:32:43]	Now 60 iteration, used friends.getMutual method, success on the 1 try, spent 0.1555953025817871 second(-s).
	[October 24 2018, 04:32:44]	Now 61 iteration, used friends.getMutual method, success on the 1 try, spent 0.6020805835723877 second(-s).
	[October 24 2018, 04:32:44]	Now 62 iteration, used users.get method, success on the 1 try, spent 0.16356182098388672 second(-s).
	[October 24 2018, 04:32:44]	Now 63 iteration, used photos.getAlbums method, success on the 1 try, spent 0.17149019241333008 second(-s).
	[October 24 2018, 04:32:44]	Now 64 iteration, used users.get method, success on the 1 try, spent 0.13762927055358887 second(-s).
	[October 24 2018, 04:32:45]	Now 65 iteration, used users.get method, success on the 1 try, spent 0.16288089752197266 second(-s).
	[October 24 2018, 04:32:45]	Now 66 iteration, used wall.get method, success on the 1 try, spent 0.7674436569213867 second(-s).
	[October 24 2018, 04:32:46]	Now 67 iteration, used friends.get method, success on the 1 try, spent 0.6726768016815186 second(-s).
	[October 24 2018, 04:32:47]	Now 68 iteration, used photos.getAlbums method, success on the 1 try, spent 0.7982726097106934 second(-s).
	[October 24 2018, 04:32:48]	Now 69 iteration, used friends.getMutual method, success on the 1 try, spent 0.648890495300293 second(-s).
	[October 24 2018, 04:32:48]	Now 70 iteration, used photos.getAlbums method, success on the 1 try, spent 0.8529860973358154 second(-s).
	[October 24 2018, 04:32:49]	Now 71 iteration, used photos.getAlbums method, success on the 1 try, spent 0.9145288467407227 second(-s).
	[October 24 2018, 04:32:50]	Now 72 iteration, used photos.getAlbums method, success on the 1 try, spent 0.9917340278625488 second(-s).
	[October 24 2018, 04:32:51]	Now 73 iteration, used friends.getMutual method, success on the 1 try, spent 0.5272347927093506 second(-s).
	[October 24 2018, 04:32:52]	Now 74 iteration, used users.get method, success on the 1 try, spent 0.7115297317504883 second(-s).
	[October 24 2018, 04:32:52]	Now 75 iteration, used friends.getMutual method, success on the 1 try, spent 0.7430353164672852 second(-s).
	[October 24 2018, 04:32:53]	Now 76 iteration, used photos.getAlbums method, success on the 1 try, spent 0.6757161617279053 second(-s).
	[October 24 2018, 04:32:55]	Now 77 iteration, used wall.get method, success on the 1 try, spent 2.233851909637451 second(-s).
	[October 24 2018, 04:32:56]	Now 78 iteration, used users.get method, success on the 1 try, spent 0.876603364944458 second(-s).
	[October 24 2018, 04:32:57]	Now 79 iteration, used photos.getAlbums method, success on the 1 try, spent 0.6797683238983154 second(-s).
	[October 24 2018, 04:32:58]	Now 80 iteration, used photos.getAlbums method, success on the 1 try, spent 0.7548558712005615 second(-s).
	[October 24 2018, 04:32:58]	Now 81 iteration, used friends.getMutual method, success on the 1 try, spent 0.7152297496795654 second(-s).
	[October 24 2018, 04:32:59]	Now 82 iteration, used friends.get method, success on the 1 try, spent 0.6275255680084229 second(-s).
	[October 24 2018, 04:33:00]	Now 83 iteration, used wall.get method, success on the 1 try, spent 0.7756025791168213 second(-s).
	[October 24 2018, 04:33:01]	Now 84 iteration, used wall.get method, success on the 1 try, spent 1.1348512172698975 second(-s).
	[October 24 2018, 04:33:02]	Now 85 iteration, used users.get method, success on the 1 try, spent 0.654620885848999 second(-s).
